"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-31 ~ 2026-03-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 60㎡초과~85㎡이하"
"금액선택 : 95000 ~ 115000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"28","경기도 광명시 철산동","241","0241","0000","주공13","73.0900","202603","19","95,000","-","2","개인","개인","1986","철산로 57","-","직거래","-","-"
"29","경기도 광명시 광명동","785","0785","0000","광명해모로이연","84.9900","202603","19","95,000","-","20","개인","개인","2015","목감로 58","-","중개거래","경기 광명시","-"
"30","경기도 하남시 풍산동","559","0559","0000","미사강변브라운스톤엔에이치에프","84.9300","202603","19","114,500","-","21","개인","개인","2018","미사강변동로 47","-","중개거래","경기 하남시","-"
"31","경기도 고양시 덕양구 덕은동","683","0683","0000","DMC디에트르한강","84.9950","202603","18","109,000","-","1","개인","개인","2022","대덕산로 70","-","중개거래","경기 고양시 덕양구, 경기 하남시","-"
"32","경기도 하남시 풍산동","565","0565","0000","미사강변아란티움","74.9800","202603","18","105,000","-","9","개인","개인","2018","미사강변중앙로 120","-","중개거래","경기 하남시","-"
"33","경기도 용인시 수지구 풍덕천동","1191","1191","0000","수지진산마을푸르지오","84.9570","202603","18","114,000","-","20","개인","개인","2012","진산로34번길 24","-","중개거래","경기 용인시 수지구","-"
"34","경기도 안양시 동안구 평촌동","75-2","0075","0002","인덕원대우","84.9600","202603","18","113,000","-","1","개인","개인","2001","학의로 390","-","중개거래","경기 의왕시","-"
"35","경기도 고양시 덕양구 지축동","904","0904","0000","지축역센트럴푸르지오","84.9621","202603","18","100,700","-","12","개인","개인","2019","지축로 55","-","중개거래","경기 고양시 덕양구, 서울 은평구","-"
"36","경기도 안양시 동안구 비산동","1103-4","1103","0004","은하수신성","84.6000","202603","18","106,000","-","12","개인","개인","1992","달안로 40","-","중개거래","경기 안양시 동안구","-"
"37","경기도 남양주시 다산동","6029","6029","0000","다산롯데캐슬","84.9900","202603","18","98,000","-","19","개인","개인","2017","다산중앙로146번길 7","-","중개거래","경기 남양주시","-"
"38","경기도 하남시 풍산동","559","0559","0000","미사강변브라운스톤엔에이치에프","84.9900","202603","18","112,000","2408동","19","개인","개인","2018","미사강변동로 47","-","중개거래","경기 하남시, 서울 강동구","26.03.27"
"39","경기도 고양시 덕양구 덕은동","658","0658","0000","DMC한강숲중흥S-CLASS","84.9693","202603","17","112,000","-","18","개인","개인","2022","대덕산로 123","-","중개거래","경기 고양시 덕양구, 경기 시흥시","-"
"40","경기도 수원시 팔달구 매교동","300","0300","0000","매교역푸르지오SKVIEW","84.9700","202603","17","104,000","-","12","개인","개인","2023","인계로 20","-","중개거래","경기 수원시 팔달구, 경기 화성시 동탄구","-"
"41","경기도 하남시 망월동","1170","1170","0000","미사강변효성해링턴플레이스엔에이치에프","84.9200","202603","17","106,900","-","23","개인","개인","2017","미사강변한강로 326","20260328","중개거래","경기 하남시","-"
"42","경기도 안양시 동안구 비산동","1177","1177","0000","평촌래미안푸르지오","68.9900","202603","17","115,000","-","19","개인","개인","2022","경수대로884번길 12","-","중개거래","경기 안양시 동안구","-"
