"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-31 ~ 2026-03-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 60㎡초과~85㎡이하"
"금액선택 : 95000 ~ 115000 만원"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"31","서울특별시 은평구 수색동","419","0419","0000","DMCSK뷰아이파크포레","84.9500","202603","17","110,000","-","10","개인","개인","2025","수색로 322","-","중개거래","서울 은평구","-"
"32","서울특별시 송파구 거여동","46","0046","0000","현대3차","84.9400","202603","16","98,000","-","11","개인","개인","1993","거마로 41","-","직거래","-","-"
"33","서울특별시 강서구 등촌동","638","0638","0000","서광등촌마을아파트","84.9300","202603","16","104,500","-","12","개인","개인","1999","공항대로45길 68-6","-","중개거래","서울 강서구","-"
"34","서울특별시 은평구 응암동","768","0768","0000","백련산해모로","84.9900","202603","16","105,000","-","12","개인","개인","2020","응암로30길 15","-","중개거래","서울 마포구, 서울 은평구","-"
"35","서울특별시 송파구 오금동","138","0138","0000","우방","84.9500","202603","15","109,500","-","9","개인","개인","2001","성내천로 87","-","중개거래","서울 송파구","-"
"36","서울특별시 동대문구 청량리동","60","0060","0000","한신","84.9200","202603","15","97,000","-","15","개인","개인","1997","제기로 131","-","중개거래","서울 동대문구","-"
"37","서울특별시 은평구 증산동","244","0244","0000","DMC우방","84.9900","202603","15","98,000","-","5","개인","개인","2000","증산로3길 26-1","-","중개거래","서울 은평구","-"
"38","서울특별시 은평구 불광동","638","0638","0000","북한산래미안아파트(1단지)","84.9885","202603","14","104,500","-","8","개인","개인","2010","진흥로 267","-","중개거래","서울 동작구, 서울 은평구","-"
"39","서울특별시 동대문구 답십리동","80","0080","0000","답십리청솔우성","84.9400","202603","14","108,000","-","10","개인","개인","2000","전농로10길 20","-","중개거래","서울 동대문구","-"
"40","서울특별시 동대문구 답십리동","80","0080","0000","답십리청솔우성","84.9400","202603","14","101,000","-","2","개인","개인","2000","전농로10길 20","-","중개거래","서울 동대문구","-"
"41","서울특별시 성북구 길음동","1280","1280","0000","길음뉴타운2단지푸르지오","84.9700","202603","14","106,500","-","13","개인","개인","2005","길음로 119","-","중개거래","서울 성북구","-"
"42","서울특별시 노원구 공릉동","758","0758","0000","태릉해링턴플레이스","74.9500","202603","14","104,000","-","3","개인","개인","2022","공릉로34길 86","-","중개거래","서울 노원구","-"
"43","서울특별시 노원구 공릉동","758","0758","0000","태릉해링턴플레이스","74.9500","202603","14","106,000","-","6","개인","개인","2022","공릉로34길 86","-","중개거래","서울 노원구","-"
"44","서울특별시 노원구 월계동","18","0018","0000","한진한화그랑빌","84.9700","202603","14","113,000","-","9","개인","개인","2002","마들로 31","-","중개거래","서울 노원구","-"
"45","서울특별시 구로구 고척동","334","0334","0000","벽산","84.8780","202603","14","100,000","-","3","개인","개인","2003","경인로 390","-","중개거래","서울 구로구","-"
"46","서울특별시 영등포구 문래동5가","14","0014","0000","문래두산위브","65.4600","202603","14","104,500","-","13","개인","개인","1988","선유로9나길 8","-","중개거래","서울 영등포구","-"
"47","서울특별시 강서구 염창동","291","0291","0000","현대3","83.7100","202603","14","105,000","-","10","개인","개인","1996","양천로75길 60","-","중개거래","서울 강서구","-"
"48","서울특별시 양천구 신정동","1311","1311","0000","동일하이빌2단지","84.9550","202603","13","106,500","-","7","개인","개인","2005","신정로11길 20","-","중개거래","서울 양천구","-"
"49","서울특별시 서대문구 남가좌동","376","0376","0000","남가좌동현대","84.7800","202603","13","109,200","-","8","개인","개인","1999","가재울로 45","-","중개거래","서울 서대문구","-"
"50","서울특별시 관악구 봉천동","1728","1728","0000","관악파크푸르지오","84.9800","202603","13","107,000","-","15","개인","개인","2014","행운10길 21","-","중개거래","서울 관악구","-"
"51","서울특별시 성북구 석관동","10","0010","0000","두산","84.9000","202603","13","95,700","-","9","개인","개인","1998","화랑로48길 16","-","중개거래","서울 성북구","-"
"52","서울특별시 동대문구 답십리동","1008","1008","0000","청계와이즈노벨리아","74.9044","202603","13","101,500","-","9","개인","개인","2017","서울시립대로 19","-","중개거래","서울 동대문구","-"
"53","서울특별시 강북구 미아동","812","0812","0000","삼성래미안트리베라2단지","84.2900","202603","13","99,500","-","3","개인","개인","2010","삼양로27길 19","-","중개거래","서울 강북구, 서울 성북구","-"
"54","서울특별시 영등포구 양평동4가","51-1","0051","0001","경남아너스빌","70.9400","202603","12","114,500","-","19","개인","개인","2000","양평로17길 9","-","중개거래","서울 영등포구","-"
"55","서울특별시 중랑구 면목동","1548","1548","0000","쌍용더플래티넘용마산","84.9731","202603","12","112,000","-","13","개인","개인","2020","용마산로 209","-","중개거래","서울 중랑구","-"
"56","서울특별시 노원구 중계동","588","0588","0000","양지마을(대림)2","84.8800","202603","12","97,800","-","3","개인","개인","1999","덕릉로73길 28","-","중개거래","서울 노원구","-"
"57","서울특별시 중구 황학동","2545","2545","0000","롯데캐슬","84.9200","202603","12","115,000","-","25","개인","개인","2008","청계천로 400","-","중개거래","서울 중구","-"
"58","서울특별시 은평구 불광동","633","0633","0000","북한산현대홈타운","84.9956","202603","12","99,500","-","10","개인","개인","2004","불광로2길 16","-","중개거래","서울 은평구","-"
"59","서울특별시 동작구 사당동","1147","1147","0000","대창센시티","77.2084","202603","11","102,500","-","12","개인","개인","2005","사당로9가길 55","-","중개거래","서울 동작구","-"
"60","서울특별시 노원구 월계동","949","0949","0000","꿈의숲SKVIEW","84.9600","202603","11","96,000","-","7","개인","개인","2016","월계로42길 97","-","중개거래","서울 성북구","-"
"61","서울특별시 노원구 월계동","929","0929","0000","현대","84.9800","202603","11","97,000","-","5","개인","개인","2000","석계로 49","-","중개거래","서울 노원구","-"
"62","서울특별시 구로구 신도림동","641","0641","0000","현대홈타운아파트","73.1700","202603","11","99,000","-","2","개인","개인","1999","신도림로19길 16","-","중개거래","서울 구로구","-"
"63","서울특별시 강동구 천호동","217-132","0217","0132","동아하이빌아파트","84.9700","202603","11","106,200","-","12","개인","개인","2000","구천면로 278","-","중개거래","서울 강동구","-"
"64","서울특별시 강서구 염창동","246-23","0246","0023","극동","85.0000","202603","11","110,000","-","5","개인","개인","2000","양천로69길 18","-","중개거래","서울 강서구","-"
"65","서울특별시 서대문구 홍은동","470","0470","0000","힐스테이트홍은포레스트","84.5300","202603","11","111,000","-","1","개인","개인","2023","가좌로4길 21","-","중개거래","서울 서대문구","-"
"66","서울특별시 성북구 장위동","317","0317","0000","꿈의숲대명루첸아파트","84.8430","202603","10","98,000","-","6","개인","개인","2008","월계로36길 27","-","중개거래","서울 성북구","-"
"67","서울특별시 영등포구 대림동","1122","1122","0000","신대림자이2단지","84.5800","202603","10","105,000","-","20","개인","개인","2007","시흥대로 589-8","-","중개거래","서울 영등포구","-"
"68","서울특별시 도봉구 창동","808","0808","0000","동아청솔","84.9700","202603","10","105,000","-","19","개인","개인","1997","노해로69길 103","-","중개거래","서울 노원구, 서울 도봉구","-"
"69","서울특별시 송파구 풍납동","510","0510","0000","신성노바빌아파트","84.9600","202603","10","110,000","101","9","개인","개인","2000","한가람로 468","-","직거래","-","26.03.18"
"70","서울특별시 마포구 망원동","513","0513","0000","상암마젤란21","82.3900","202603","09","100,000","-","15","개인","개인","2005","방울내로11길 43","-","중개거래","서울 마포구","-"
"71","서울특별시 구로구 신도림동","641","0641","0000","현대홈타운아파트","84.6900","202603","09","100,000","101","8","개인","개인","1999","신도림로19길 16","-","직거래","-","26.03.17"
"72","서울특별시 노원구 월계동","949","0949","0000","꿈의숲SKVIEW","84.9500","202603","09","98,500","-","11","개인","개인","2016","월계로42길 97","-","중개거래","서울 강북구, 서울 동대문구","-"
"73","서울특별시 강동구 천호동","217-132","0217","0132","동아하이빌아파트","84.9700","202603","09","104,000","-","12","개인","개인","2000","구천면로 278","-","중개거래","서울 강동구","-"
"74","서울특별시 구로구 고척동","339","0339","0000","고척파크푸르지오","84.9400","202603","09","113,000","-","6","개인","개인","2009","중앙로 121","-","중개거래","서울 구로구","-"
"75","서울특별시 강동구 천호동","528","0528","0000","천호동삼성아파트","84.9700","202603","09","110,000","-","7","개인","개인","1997","성안로25길 6","-","중개거래","서울 강동구","-"
"76","서울특별시 관악구 봉천동","1718","1718","0000","벽산블루밍","84.9900","202603","09","105,000","-","24","개인","개인","2005","은천로 93","-","중개거래","서울 관악구","-"
"77","서울특별시 성북구 하월곡동","222","0222","0000","월곡두산위브","84.8430","202603","09","97,000","-","9","개인","개인","2003","오패산로 46","-","중개거래","서울 성북구","-"
"78","서울특별시 양천구 신정동","1276","1276","0000","신트리3","84.8000","202603","09","110,000","-","3","개인","개인","2000","신정로 290","-","중개거래","서울 양천구","-"
"79","서울특별시 동작구 사당동","1155","1155","0000","대성유니드","84.9300","202603","09","100,000","-","7","개인","개인","2009","동작대로29길 195","-","중개거래","서울 동작구","-"
"80","서울특별시 구로구 구로동","1263","1263","0000","신도림롯데아파트","84.9300","202603","09","97,000","-","7","개인","개인","1999","새말로 31","-","직거래","-","-"
"81","서울특별시 노원구 월계동","951","0951","0000","월계센트럴아이파크","84.9900","202603","08","113,000","-","9","개인","개인","2020","초안산로2라길 26","-","중개거래","경기 하남시, 서울 노원구","-"
"82","서울특별시 구로구 개봉동","489","0489","0000","개봉동현대아이파크","84.9800","202603","07","98,500","-","2","개인","개인","2006","개봉로2길 133-15","-","중개거래","서울 구로구","-"
"83","서울특별시 구로구 개봉동","476","0476","0000","한마을","84.5700","202603","07","95,000","-","11","개인","개인","1999","경인로 382","-","중개거래","서울 구로구","-"
"84","서울특별시 노원구 상계동","1410","1410","0000","노원롯데캐슬시그니처","84.9990","202603","07","114,000","-","24","개인","개인","2023","덕릉로 753","-","중개거래","서울 노원구","-"
